COOPID, YEAR, MONTH, DAY, meanTemp
80211,1932,4,28,66.50000
80211,1932,4,29,73.00000
80211,1932,4,30,70.00000
80211,1932,5,1,73.50000
80211,1932,5,2,70.00000
80211,1932,5,3,67.50000
80211,1932,5,4,70.00000
80211,1932,5,5,70.00000
80211,1932,5,6,70.00000
80211,1932,5,7,72.00000
80211,1932,5,8,73.00000
80211,1932,5,9,76.50000
80211,1932,5,10,79.50000
80211,1932,5,11,75.00000
80211,1932,5,12,73.50000
80211,1932,5,13,69.50000
80211,1932,5,14,73.00000
80211,1932,5,15,72.00000
80211,1932,5,16,73.50000
80211,1932,5,17,72.00000
80211,1932,5,18,71.50000
80211,1932,5,19,75.50000
80211,1932,5,20,76.00000
80211,1932,5,21,74.00000
80211,1932,5,22,74.50000
80211,1932,5,23,74.50000
80211,1932,5,24,75.50000
80211,1932,5,25,77.00000
80211,1932,5,26,77.50000
80211,1932,5,27,77.50000
80211,1932,5,28,79.00000
80211,1932,5,29,80.50000
80211,1932,5,30,74.50000
80211,1932,5,31,76.50000
80211,1932,6,1,77.50000
80211,1932,6,2,74.00000
80211,1932,6,3,74.00000
80211,1932,6,4,75.50000
80211,1932,6,5,78.50000
80211,1932,6,6,76.50000
80211,1932,6,7,80.50000
80211,1932,6,8,80.00000
80211,1932,6,9,79.50000
80211,1932,6,10,79.50000
80211,1932,6,11,81.50000
80211,1932,6,12,73.50000
80211,1932,6,13,77.00000
80211,1932,6,14,78.00000
80211,1932,6,15,81.00000
80211,1932,6,16,82.00000
80211,1932,6,17,82.50000
80211,1932,6,18,83.50000
80211,1932,6,19,80.00000
80211,1932,6,20,79.00000
80211,1932,6,21,81.00000
80211,1932,6,22,82.00000
80211,1932,6,23,82.50000
80211,1932,6,24,83.00000
80211,1932,6,25,84.50000
80211,1932,6,26,84.50000
80211,1932,6,27,83.00000
80211,1932,6,28,81.50000
80211,1932,6,29,85.00000
80211,1932,6,30,85.00000
80211,1932,7,1,85.50000
80211,1932,7,2,85.50000
80211,1932,7,3,84.50000
80211,1932,7,4,84.00000
80211,1932,7,5,83.50000
80211,1932,7,6,85.00000
80211,1932,7,7,85.50000
80211,1932,7,8,86.00000
80211,1932,7,9,86.00000
80211,1932,7,10,84.00000
80211,1932,7,11,83.50000
80211,1932,7,12,85.50000
80211,1932,7,13,88.00000
80211,1932,7,14,91.50000
80211,1932,7,15,87.00000
80211,1932,7,16,81.00000
80211,1932,7,17,82.00000
80211,1932,7,18,86.50000
80211,1932,7,19,85.00000
80211,1932,7,20,84.50000
80211,1932,7,21,83.50000
80211,1932,7,22,86.50000
80211,1932,7,23,86.50000
80211,1932,7,24,86.00000
80211,1932,7,25,84.00000
80211,1932,7,26,82.50000
80211,1932,7,27,82.00000
80211,1932,7,28,82.00000
80211,1932,7,29,80.50000
80211,1932,7,30,83.00000
80211,1932,7,31,84.50000
80211,1932,8,1,80.50000
80211,1932,8,2,81.50000
80211,1932,8,3,82.00000
80211,1932,8,4,83.00000
80211,1932,8,5,80.50000
80211,1932,8,6,79.50000
80211,1932,8,7,79.00000
80211,1932,8,8,80.50000
80211,1932,8,9,82.00000
80211,1932,8,10,81.00000
80211,1932,8,11,82.50000
80211,1932,8,12,83.50000
80211,1932,8,13,84.00000
80211,1932,8,14,81.50000
80211,1932,8,15,80.00000
80211,1932,8,16,80.00000
80211,1932,8,17,81.00000
80211,1932,8,18,79.50000
80211,1932,8,19,78.00000
80211,1932,8,20,78.50000
80211,1932,8,21,79.50000
80211,1932,8,22,76.00000
80211,1932,8,23,77.00000
80211,1932,8,24,79.00000
80211,1932,8,25,79.50000
80211,1932,8,26,80.50000
80211,1932,8,27,80.50000
80211,1932,8,28,82.00000
80211,1932,8,29,82.00000
80211,1932,8,30,81.00000
80211,1932,8,31,80.00000
80211,1932,9,1,84.00000
80211,1932,9,2,83.00000
80211,1932,9,3,83.00000
80211,1932,9,4,83.50000
80211,1932,9,5,84.00000
80211,1932,9,6,86.00000
80211,1932,9,7,81.00000
80211,1932,9,8,78.00000
80211,1932,9,9,79.00000
80211,1932,9,10,79.00000
80211,1932,9,11,75.00000
80211,1932,9,12,75.50000
80211,1932,9,13,74.00000
80211,1932,9,14,71.00000
80211,1932,9,15,75.50000
80211,1932,9,16,79.00000
80211,1932,9,17,80.00000
80211,1932,9,18,79.50000
80211,1932,9,19,80.50000
80211,1932,9,20,75.50000
80211,1932,9,21,76.50000
80211,1932,9,22,78.00000
80211,1932,9,23,79.00000
80211,1932,9,24,79.00000
80211,1932,9,25,77.00000
80211,1932,9,26,80.00000
80211,1932,9,27,79.50000
80211,1932,9,28,79.50000
80211,1932,9,29,77.50000
80211,1932,9,30,75.00000
80211,1932,10,1,73.00000
80211,1932,10,2,75.50000
80211,1932,10,3,73.50000
80211,1932,10,4,79.00000
80211,1932,10,5,66.50000
80211,1932,10,6,57.00000
80211,1932,10,7,58.00000
80211,1932,10,8,67.50000
80211,1932,10,9,70.50000
80211,1932,10,10,70.50000
80211,1932,10,11,75.00000
80211,1932,10,12,66.00000
80211,1932,10,13,65.50000
80211,1932,10,14,71.50000
80211,1932,10,15,74.00000
80211,1932,10,16,76.00000
80211,1932,10,17,73.50000
80211,1932,10,18,74.50000
80211,1932,10,19,73.50000
80211,1932,10,20,72.50000
80211,1932,10,21,72.50000
80211,1932,10,22,65.50000
80211,1932,10,23,70.50000
80211,1932,10,24,69.50000
80211,1932,10,25,73.00000
80211,1932,10,26,70.50000
80211,1932,10,27,63.00000
80211,1932,10,28,61.00000
80211,1932,10,29,67.00000
80211,1932,10,30,67.50000
80211,1932,10,31,73.00000
80211,1932,11,1,65.00000
80211,1932,11,2,63.00000
80211,1932,11,3,65.00000
80211,1932,11,4,63.50000
80211,1932,11,5,67.00000
80211,1932,11,6,67.00000
80211,1932,11,7,71.50000
80211,1932,11,8,69.00000
80211,1932,11,9,58.00000
80211,1932,11,10,56.50000
80211,1932,11,11,60.00000
80211,1932,11,12,47.50000
80211,1932,11,13,44.50000
80211,1932,11,14,48.50000
80211,1932,11,15,56.00000
80211,1932,11,16,60.50000
80211,1932,11,17,55.50000
80211,1932,11,18,60.00000
80211,1932,11,19,46.50000
80211,1932,11,20,48.50000
80211,1932,11,21,55.50000
80211,1932,11,22,57.00000
80211,1932,11,23,58.00000
80211,1932,11,24,62.50000
80211,1932,11,25,64.00000
80211,1932,11,26,60.00000
80211,1932,11,27,49.00000
80211,1932,11,28,44.50000
80211,1932,11,29,45.00000
80211,1932,11,30,48.50000
80211,1932,12,1,52.00000
80211,1932,12,2,52.50000
80211,1932,12,3,54.50000
80211,1932,12,4,60.00000
80211,1932,12,5,55.50000
80211,1932,12,6,54.50000
80211,1932,12,7,62.00000
80211,1932,12,8,57.00000
80211,1932,12,9,57.50000
80211,1932,12,10,64.00000
80211,1932,12,11,63.50000
80211,1932,12,12,66.00000
80211,1932,12,13,66.50000
80211,1932,12,14,68.00000
80211,1932,12,15,62.00000
80211,1932,12,16,58.00000
80211,1932,12,17,55.00000
80211,1932,12,18,41.50000
80211,1932,12,19,50.50000
80211,1932,12,20,52.00000
80211,1932,12,21,57.00000
80211,1932,12,22,61.50000
80211,1932,12,23,61.50000
80211,1932,12,24,66.00000
80211,1932,12,25,66.00000
80211,1932,12,26,67.50000
80211,1932,12,27,67.50000
80211,1932,12,28,67.50000
80211,1932,12,29,66.50000
